EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
99,mu+,0.964711,1.21725,500.0,1.55318,9946.61,39.7682,49.7463,10051.5,63.6883
99,e-,0.930823,1.13436,484.822,1.46738,0.0,0.0,-0.0,0.0,0.0
99,e-,0.930823,1.13436,484.822,1.46738,0.0,0.0,-0.0,0.0,0.0
0,mu+,0.0709271,-0.159404,500.0,0.174471,99936.0,26.702,-62.3364,100042.0,67.8147
1,mu+,-0.0992236,-0.0209989,500.0,0.101421,99906.8,-42.3993,-11.008,100012.0,43.8049
2,mu+,-0.0458832,-0.113132,500.0,0.122082,99947.5,-18.2657,-45.8975,100053.0,49.3985
3,mu+,0.0151935,-0.00784267,500.0,0.0170983,99940.1,7.6145,-2.15022,100046.0,7.91227
4,mu+,-0.0740352,0.0631017,500.0,0.0972781,99927.5,-25.9811,23.2998,100033.0,34.8984
5,mu+,0.0808135,0.0414373,500.0,0.0908178,99946.2,33.5551,16.6339,100052.0,37.4518
6,mu+,0.00401255,0.129243,500.0,0.129305,99946.2,2.85354,52.1335,100052.0,52.2115
7,mu+,0.065731,-0.043172,499.205,0.0786409,99894.0,26.9533,-17.7855,99999.6,32.2924
7,mu+,0.0659453,-0.0433134,500.0,0.0788976,99894.0,26.9533,-17.7855,99999.6,32.2924
7,e-,0.0210298,-0.0787131,499.207,0.0814739,0.0,-0.0,-0.0,0.0,0.0
7,e-,0.0210298,-0.0787131,499.207,0.0814739,0.0,-0.0,-0.0,0.0,0.0
8,mu+,0.0909529,0.0367197,500.0,0.0980855,99789.8,38.2502,16.0645,99895.4,41.4867
9,mu+,0.108787,0.140754,500.0,0.177894,99950.1,44.2276,59.464,100056.0,74.1083
10,mu+,-0.11729,-0.0607061,500.0,0.132069,99830.0,-50.6993,-24.1565,99935.6,56.1601
11,mu+,-0.111949,0.148166,500.0,0.185703,99956.1,-46.9662,61.531,100062.0,77.4073
12,mu+,0.162884,0.0606645,500.0,0.173814,99953.8,68.409,25.3167,100059.0,72.9433
13,mu+,0.0820296,-0.11976,500.0,0.14516,99949.9,32.0828,-49.219,100056.0,58.7522
14,mu+,-0.0318989,-0.0309762,500.0,0.0444642,99955.0,-13.6166,-13.2258,100061.0,18.9824
15,mu+,0.256386,-0.212574,500.0,0.333049,99947.5,106.426,-88.7115,100053.0,138.551
16,mu+,-0.0306293,-0.040099,500.0,0.0504587,99944.2,-12.7136,-17.5495,100050.0,21.6707
17,mu+,0.110362,0.0250837,498.353,0.113176,99948.0,42.6172,13.7121,100054.0,44.7688
17,mu+,0.111063,0.0253093,500.0,0.11391,99948.0,42.6172,13.7121,100054.0,44.7688
17,e-,-0.116006,0.0925971,498.369,0.148431,0.0,-0.0,0.0,0.0,0.0
17,e-,-0.116006,0.0925971,498.369,0.148431,0.0,-0.0,0.0,0.0,0.0
18,mu+,-0.0857305,0.0441691,500.0,0.0964398,99955.2,-34.7337,18.454,100061.0,39.3317
19,mu+,-0.0265861,-0.0547202,500.0,0.0608368,99956.7,-10.7126,-22.6057,100062.0,25.0156
20,mu+,0.0868978,-0.051345,500.0,0.100933,99941.3,34.6109,-20.9116,100047.0,40.4377
21,mu+,-0.0251505,-0.00721803,500.0,0.0261658,99945.2,-9.60364,-2.72564,100051.0,9.98293
22,mu+,0.0940396,0.0841152,500.0,0.12617,99912.2,37.3955,35.3233,100018.0,51.4408
23,mu+,-0.0371798,0.00785396,500.0,0.0380003,99954.8,-14.8928,2.99002,100060.0,15.19
24,mu+,-0.0237866,-0.0292851,500.0,0.0377282,99938.5,-10.938,-12.7903,100044.0,16.8295
25,mu+,-0.00122474,-0.116981,500.0,0.116987,99944.2,1.12373,-49.472,100050.0,49.4848
26,mu+,-0.00260829,0.0203513,500.0,0.0205178,99952.4,0.0546942,9.34955,100058.0,9.34971
27,mu+,0.0895524,0.0221986,500.0,0.0922627,99953.3,37.3808,9.24767,100059.0,38.5077
28,mu+,0.0843748,0.123601,500.0,0.149654,99950.7,35.5126,53.9572,100056.0,64.5951
29,mu+,-0.0697149,-0.0122662,500.0,0.0707858,99948.0,-28.9177,-6.04542,100054.0,29.5429
30,mu+,0.090263,0.038493,500.0,0.0981281,99908.7,34.413,14.4636,100014.0,37.329
31,mu+,-0.141064,-0.0197758,500.0,0.142443,99937.8,-57.1478,-9.32888,100043.0,57.9043
32,mu+,-0.0366933,0.0263129,500.0,0.0451527,99950.3,-15.4965,10.4466,100056.0,18.6889
33,mu+,-0.0535144,-0.0625149,500.0,0.0822915,99952.4,-22.4182,-26.2838,100058.0,34.5458
34,mu+,0.0879158,-0.067106,500.0,0.1106,99949.8,36.9439,-28.6329,100055.0,46.7407
35,mu+,0.0951387,-0.0788558,500.0,0.12357,99953.2,39.2104,-33.8026,100059.0,51.7694
36,mu+,0.0192046,-0.116369,500.0,0.117943,99847.6,7.74389,-45.2409,99953.2,45.8989
37,mu+,-0.001756,0.0116321,500.0,0.0117639,99954.4,1.41882,5.28694,100060.0,5.47401
38,mu+,-0.00385652,-0.190467,500.0,0.190506,99953.4,-1.28714,-78.4705,100059.0,78.4811
39,mu+,0.121001,0.0877563,497.493,0.149474,99937.9,49.3645,34.9374,100043.0,60.477
39,mu+,0.122238,0.0886318,500.0,0.150989,99937.9,49.357,34.9609,100043.0,60.4845
39,e-,0.088414,0.111465,497.494,0.142273,0.0,-0.0,0.0,0.0,0.0
39,e-,0.088414,0.111465,497.494,0.142273,0.0,-0.0,0.0,0.0,0.0
40,mu+,0.101706,0.153402,500.0,0.184055,99950.6,42.4,64.8719,100056.0,77.4992
41,mu+,-0.0250257,-0.166827,500.0,0.168694,99955.8,-10.3953,-68.4844,100061.0,69.2688
42,mu+,-0.0235308,-0.0290569,500.0,0.0373898,99932.7,-8.2309,-9.49499,100038.0,12.5659
43,mu+,0.0565957,-0.0419536,489.042,0.0704498,99948.1,24.7836,-18.0604,100054.0,30.666
43,mu+,0.0593099,-0.0439315,500.0,0.0738082,99948.0,24.6871,-18.0485,100054.0,30.5811
43,e-,0.0326524,-0.0460157,489.043,0.0564237,0.0,-0.0,-0.0,0.0,0.0
43,e-,0.0326524,-0.0460157,489.043,0.0564237,0.0,-0.0,-0.0,0.0,0.0
44,mu+,0.0623301,-0.0738473,500.0,0.0966357,99937.7,26.0521,-29.4044,100043.0,39.2852
