EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,-0.135658,-0.121497,500,0.182112,9979.05,-6.31174,-4.54501,10084.2,7.77786
1,mu-,-0.321192,0.15964,500,0.358677,9977.88,-12.5056,5.69061,10083,13.7395
2,mu-,-0.288113,-0.00670585,500,0.288191,9978.48,-10.7538,0.311542,10083.6,10.7583
3,mu-,0.055464,-0.187446,500,0.19548,9964.88,1.22519,-7.32968,10070,7.43137
4,mu-,0.290318,0.592146,500,0.659486,9977.87,11.5184,24.0682,10082.9,26.6824
5,mu-,-0.346853,-0.140292,500,0.374151,9898.75,-14.0625,-4.80166,10003.8,14.8597
6,mu-,0.295757,0.0840635,500,0.307472,9977.65,10.9719,3.54939,10082.7,11.5317
7,mu-,-0.270733,0.295444,500,0.400729,9968.38,-11.2642,11.5324,10073.5,16.1207
8,mu-,0.494515,0.0854898,500,0.501851,9976.53,19.1213,2.93106,10081.6,19.3446
9,mu-,-0.127817,-0.548913,500,0.563598,9977.48,-4.95064,-21.3772,10082.6,21.9429
10,mu-,0.328042,-0.137347,497.975,0.355634,9977.88,13.3822,-6.10318,10083,14.7082
10,mu-,0.330729,-0.138573,500,0.358586,9977.88,13.3858,-6.11023,10083,14.7145
10,e-,0.375799,-0.136245,497.977,0.399734,0,0,0,0,0
10,e-,0.375799,-0.136245,497.977,0.399734,0,0,0,0,0
11,mu-,0.332615,0.262011,500,0.423417,9975.98,12.3263,11.5399,10081.1,16.8852
12,mu-,0.456351,-0.0308586,500,0.457393,9968.84,18.2197,-0.59787,10073.9,18.2295
13,mu-,-0.345536,-0.163771,493.236,0.382382,9927.62,-14.4468,-6.24219,10032.7,15.7377
13,mu-,-0.355276,-0.16798,500,0.392986,9927.62,-14.3457,-6.28194,10032.7,15.6609
13,e-,-2.75397,4.59865,493.669,5.36022,0.0312007,-0.0649679,0.168728,-0.0130621,0.180803
13,e-,-2.90851,5,493.638,5.78441,0.0309173,-0.0768428,0.161087,-0.0264502,0.178476
14,mu-,-0.425535,-0.517337,500,0.669863,9973.48,-16.0843,-20.6671,10078.6,26.1884
15,mu-,0.55214,0.696865,493.526,0.889089,9975.68,23.0447,28.1115,10080.7,36.3499
15,mu-,0.566939,0.714918,500,0.91243,9975.68,23.1009,28.1148,10080.7,36.3881
15,e-,0.607792,0.727163,493.529,0.947722,0,0,0,0,0
15,e-,0.607792,0.727163,493.529,0.947722,0,0,0,0,0
16,mu-,-0.0316125,0.211074,500,0.213428,9976.09,-0.936962,7.51005,10081.2,7.56827
17,mu-,-0.700303,-0.553026,500,0.892335,9972.74,-28.0682,-21.7976,10077.8,35.5382
18,mu-,-0.648167,0.063609,500,0.651281,9977.19,-26.1531,2.82238,10082.3,26.3049
19,mu-,0.284697,0.233269,500,0.368058,9977.3,11.7795,9.2928,10082.4,15.0038
20,mu-,0.0281379,-0.272599,500,0.274047,9956.2,1.62375,-10.8979,10061.3,11.0182
21,mu-,0.0114835,0.818314,500,0.818394,9899.35,0.370122,33.4227,10004.4,33.4248
22,mu-,-0.0422899,0.00878715,486.025,0.0431932,9976.44,-1.4101,1.56804,10081.5,2.10882
22,mu-,-0.0442446,0.0109608,500,0.0455821,9976.43,-1.24752,1.60739,10081.5,2.0347
22,e-,-0.16811,0.0681536,486.032,0.1814,0,-0,0,0,0
22,e-,-0.16811,0.0681536,486.032,0.1814,0,-0,0,0,0
23,mu-,0.910712,-1.27435,500,1.56632,9979.36,37.7155,-52.4096,10084.3,64.5695
24,mu-,-0.0214977,0.174332,500,0.175653,9979.17,-0.77558,5.37797,10084.3,5.4336
25,mu-,0.347534,-0.0415339,500,0.350007,9977.84,14.7853,-1.98026,10082.9,14.9173
26,mu-,0.045706,-0.0571151,496.261,0.0731517,9976.94,1.36568,-2.18875,10082,2.57987
26,mu-,0.0462124,-0.0579267,500,0.0741019,9976.94,1.36568,-2.18875,10082,2.57987
26,e-,0.0197253,-0.0721303,496.263,0.0747788,0,-0,-0,0,0
26,e-,0.0197253,-0.0721303,496.263,0.0747788,0,-0,-0,0,0
27,mu-,-0.0697842,-0.349523,500,0.356421,9977.99,-1.6663,-12.5851,10083.1,12.695
28,mu-,-0.18524,-0.0924452,500,0.207026,9975.74,-7.42324,-3.59657,10080.8,8.24862
29,mu-,0.170728,-0.582482,484.075,0.606987,9979.53,6.58769,-23.9247,10084.6,24.8151
29,mu-,0.181131,-0.620263,500,0.646169,9979.53,6.56384,-23.8874,10084.6,24.7728
29,e-,0.1488,-0.580967,484.076,0.59972,0,-0,0,0,0
29,e-,0.1488,-0.580967,484.076,0.59972,0,-0,0,0,0
30,mu-,-0.121096,-0.638721,500,0.650099,9980.54,-4.10068,-25.2595,10085.6,25.5902
31,mu-,0.375722,-0.185282,500,0.418923,9972.45,15.3281,-7.30916,10077.5,16.9816
32,mu-,-0.515967,-0.0473322,500,0.518133,9976.8,-19.2827,-1.6742,10081.9,19.3552
33,mu-,0.213253,-0.472593,500,0.518479,9962.36,8.58423,-19.8072,10067.4,21.5874
34,mu-,0.534556,-0.0116497,500,0.534683,9970.57,20.9022,-2.31362,10075.6,21.0299
35,mu-,0.949427,-0.257226,500,0.983655,9977.77,40.0121,-9.91539,10082.8,41.2224
36,mu-,0.421137,-0.188152,493.091,0.461257,9978.02,17.9064,-7.77811,10083.1,19.5227
36,mu-,0.433407,-0.193482,500,0.474633,9978.02,17.8932,-7.72126,10083.1,19.4881
36,e-,0.114157,0.0919285,493.139,0.14657,0.011474,-0.0396866,0.0956188,0.0337653,0.103528
36,e-,-0.35615,1.22506,493.539,1.27578,0.00673515,0.0675968,-0.039331,0.0285029,0.0782065
36,e-,0.0943763,0.962926,493.729,0.96754,0,-0,-0,-0,0
36,e-,0.0943763,0.962926,493.729,0.96754,0,-0,-0,-0,0
36,e-,0.0920446,0.0837761,493.137,0.124461,0,-0,-0,-0,0
36,e-,0.0920446,0.0837761,493.137,0.124461,0,-0,-0,-0,0
37,mu-,0.0239437,0.49872,500,0.499295,9978,1.05363,19.5897,10083.1,19.6181
38,mu-,-0.468934,-0.467737,494.688,0.662327,9979.35,-19.8207,-18.3811,10084.4,27.0319
38,mu-,-0.479375,-0.47742,500,0.676558,9979.35,-19.82,-18.3777,10084.4,27.0291
38,e-,-0.461458,-0.490883,494.688,0.673728,0,0,-0,0,0
38,e-,-0.461458,-0.490883,494.688,0.673728,0,0,-0,0,0
39,mu-,0.51393,-0.138568,500,0.532283,9968,20.1595,-5.57003,10073.1,20.9148
40,mu-,-0.111522,0.0197479,500,0.113257,9979.13,-3.24385,1.73825,10084.2,3.68023
