EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
1,mu-,-3.36121,-0.971872,500,3.49889,95.7679,-1.58466,-0.996793,171.48,1.87209
3,mu-,-1.59298,-2.38892,499.501,2.87133,95.256,-0.510886,-1.77188,170.879,1.84406
3,mu-,-1.59447,-2.39409,500,2.87646,95.256,-0.510886,-1.77188,170.879,1.84406
3,e-,-1.73003,-2.30527,499.513,2.88223,0,-0,0,0,0
3,e-,-1.73003,-2.30527,499.513,2.88223,0,-0,0,0,0
4,mu-,0.619947,1.56539,486.357,1.68368,93.6891,1.21737,0.938226,169.037,1.53697
4,mu-,0.7182,1.64112,500,1.79139,93.6875,1.17046,0.962623,169.035,1.51546
4,e-,5,1.92678,488.048,5.3584,0.108117,0.320245,-0.0338505,0.135951,0.322029
5,mu-,5,2.43938,489.003,5.56333,95.4437,3.73783,1.05072,171.065,3.88271
7,e-,4.65205,-4.89849,487.095,6.7555,0.0124033,-0.102853,0.0461604,0.0109736,0.112737
7,e-,4.41147,-4.74666,487.18,6.48011,0.0118833,-0.0703478,0.0635914,0.0573868,0.0948297
7,e-,4.28636,-4.61425,487.355,6.29795,0.011586,-0.0546197,0.0463678,0.0827154,0.071647
7,e-,4.2073,-4.49157,487.605,6.15431,0.0112503,-0.0313342,0.0723632,0.0735257,0.078856
7,e-,4.04131,-4.29035,487.781,5.89401,0.0107028,-0.0444798,0.0513388,0.0802415,0.0679273
7,e-,3.84815,-4.02497,487.985,5.56854,0.0093312,-0.0655739,0.0669878,0.0289178,0.0937406
7,e-,3.47674,-3.60504,487.898,5.00839,0.007935,-0.0459445,0.0624065,-0.0465517,0.0774949
7,e-,3.10144,-3.09526,487.518,4.38173,0.00276704,0.0403954,-0.00331528,0.0345368,0.0405312
7,e-,3.18829,-3.10239,487.592,4.4486,0,0,-0,0,0
7,e-,3.18829,-3.10239,487.592,4.4486,0,0,-0,0,0
8,mu-,-2.62531,-1.4747,500,3.01115,95.4217,-2.94757,-1.81267,171.048,3.46034
9,mu-,1.3233,3.68621,500,3.91654,94.7143,1.72735,2.43265,170.225,2.98355
10,mu-,1.82124,-1.80768,500,2.56605,95.7553,0.435897,-2.27525,171.46,2.31663
11,mu-,4.25473,4.89382,498.21,6.48477,95.7093,2.26143,3.03382,171.379,3.78393
11,mu-,4.27835,4.92551,500,6.52418,95.709,2.22965,3.03929,171.38,3.76943
11,e-,4.22451,4.88578,498.212,6.4589,0,-0,-0,0,0
